"evaluation","n","method","mean_coverage","sd_coverage","nominal_level","n_replications","n_evaluation_points"
"Fixed grid",30,"BKP",0.870805,0.0643789246131328,0.95,100,2000
"Fixed grid",30,"BKP-ESS",0.94087,0.0314366141158794,0.95,100,2000
"Fixed grid",30,"LGP",0.91371,0.0404117182225276,0.95,100,2000
"Training locations",30,"BKP",0.881333333333333,0.0673900151462673,0.95,100,30
"Training locations",30,"BKP-ESS",0.945666666666667,0.0333854810946867,0.95,100,30
"Training locations",30,"LGP",0.911,0.0501524052124829,0.95,100,30
"Fixed grid",100,"BKP",0.909095,0.0407767198759094,0.95,100,2000
"Fixed grid",100,"BKP-ESS",0.976495,0.00970902293037906,0.95,100,2000
"Fixed grid",100,"LGP",0.89549,0.0360448640200268,0.95,100,2000
"Training locations",100,"BKP",0.9084,0.0414319449290769,0.95,100,100
"Training locations",100,"BKP-ESS",0.9756,0.0099818016227715,0.95,100,100
"Training locations",100,"LGP",0.8982,0.0374807694799357,0.95,100,100
